Country,Country_Code,Year,FDI,GDP_Growth,Exports_pct_GDP,Imports_pct_GDP,Trade_Openness
Indonesia,IDN,2002,145085548.7,4.49947539085764,32.6876208878375,26.3918408785348,59.0794617663723
Indonesia,IDN,2003,-596923827.8,4.78036912167654,30.4776547809661,23.1388389663355,53.6164937473016
Indonesia,IDN,2004,1896082770.0,5.03087394501685,32.2166946182599,27.5446002184312,59.7612948366911
Indonesia,IDN,2005,8336257208.0,5.69257130383384,34.0672676279992,29.9206682408643,63.9879358688635
Indonesia,IDN,2006,4914201435.0,5.50095178520348,31.0347163143166,25.6224105005701,56.6571268148867
Indonesia,IDN,2007,6928480000.0,6.34502222667214,29.4357184851264,25.3935314930811,54.8292499782075
Indonesia,IDN,2008,9318453650.0,6.01370360009123,29.8082841673732,28.7531154639229,58.5613996312961
Indonesia,IDN,2009,4877369178.0,4.62887118256153,24.1591196686279,21.3530017000775,45.512121368705394
Indonesia,IDN,2010,15292009411.0,6.22385418062366,24.2990309366408,22.4022429392329,46.701273875873696
Indonesia,IDN,2011,20564938227.0,6.16978420771008,26.3273530888836,23.8526600952268,50.1800131841104
Indonesia,IDN,2012,21200778608.0,6.03005065305615,24.5943787881769,24.9885195110858,49.5828982992627
Indonesia,IDN,2013,23281742362.0,5.5572636889101,23.9235763793605,24.7137962959288,48.6373726752893
Indonesia,IDN,2014,25120732060.0,5.006668425755,23.6659845969367,24.414190988586,48.080175585522696
Indonesia,IDN,2015,19779127977.0,4.87632230022123,21.1601792598059,20.7774609817235,41.9376402415294
Indonesia,IDN,2016,4541713739.0,5.03306918280177,19.0889938536664,18.3323479486654,37.421341802331796
Indonesia,IDN,2017,20510310832.0,5.06978590134916,20.1773044351106,19.17819263535,39.3554970704606
Indonesia,IDN,2018,18909826044.0,5.17429153955024,21.0027464972455,22.0715624579547,43.074308955200195
Indonesia,IDN,2019,24993551748.0,5.01928768046282,18.5915277970883,19.0362497386225,37.627777535710806
Indonesia,IDN,2020,19175077748.0,-2.06551182934165,17.3311682848923,15.6410071153504,32.9721754002427
Indonesia,IDN,2021,21213080330.0,3.70288562827751,21.4165556390653,18.7882026359018,40.204758274967105
Indonesia,IDN,2022,24702029705.0,5.30719722664799,24.5029116862832,20.9617585096621,45.4646701959453
Indonesia,IDN,2023,21543358781.0,5.04902331835997,21.7538472039177,19.5824396668474,41.3362868707651
Indonesia,IDN,2024,24107310607.0,5.03034469419038,22.18331286866,20.389334433174,42.572647301833996
Lao PDR,LAO,2000,33890000.0,5.79878232861959,30.6620036016085,38.175297766224,68.8373013678325
Lao PDR,LAO,2001,23904284.13,5.75141287983195,27.8731588735049,38.0262780063432,65.8994368798481
Lao PDR,LAO,2002,4451297.031,5.91874368370564,28.7525146642775,38.5023881880757,67.2549028523532
Lao PDR,LAO,2003,19484000.8,6.06700230344272,23.5004331627788,37.0716627200091,60.572095882787906
Lao PDR,LAO,2004,16917263.0,6.35769548008234,24.9121225651615,41.1676290571222,66.0797516222837
Lao PDR,LAO,2005,27720000.0,7.10756836811267,28.9637357220067,42.8289105517785,71.7926462737852
Lao PDR,LAO,2006,187310641.0,8.61926620832807,38.1550775230179,43.8062978932242,81.9613754162421
Lao PDR,LAO,2007,323520000.0,7.59682880054878,33.6143130828635,45.5983158206633,79.21262890352679
Lao PDR,LAO,2008,227770000.0,7.82490276337012,33.1540804750868,48.695101619045,81.8491820941318
Lao PDR,LAO,2009,318598209.1,7.50177491225853,30.0830696746432,46.8477565440088,76.930826218652
Lao PDR,LAO,2010,278805903.1,8.52690551739717,35.384026037956,49.3363118537116,84.7203378916676
Lao PDR,LAO,2011,300743507.1,8.03865268023725,40.3431560976816,51.35553977034,91.6986958680216
Lao PDR,LAO,2012,617755394.5,8.02609843461283,37.8767283501759,60.3083980811903,98.1851264313662
Lao PDR,LAO,2013,681397257.1,8.02630022699017,38.1731033983004,60.00604321766,98.1791466159604
Lao PDR,LAO,2014,867646121.7,7.61196343979319,40.7545466511497,58.3051916421903,99.05973829334
Lao PDR,LAO,2015,1077759915.0,7.27006584373785,33.9522573081909,51.8460643954901,85.79832170368101
Lao PDR,LAO,2016,935296172.8,7.02283625501138,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2017,1686287305.0,6.8925308726989,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2018,1358019506.0,6.24796000755872,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2019,755524124.2,5.4577350924848,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2020,967706086.2,0.503031829018681,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2021,1071913716.0,2.52835100486102,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2022,726273736.5,2.70742652643155,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2023,1781176779.0,3.74568140158232,33.209427456122,41.8824634642904,75.0918909204124
Lao PDR,LAO,2024,988457806.8,4.25825724651581,33.209427456122,41.8824634642904,75.0918909204124
Malaysia,MYS,2000,3787631579.0,8.85886816969386,119.809708726968,100.597080255106,220.40678898207398
Malaysia,MYS,2001,553947368.4,0.517675319192861,110.402491356547,92.9621446541059,203.3646360106529
Malaysia,MYS,2002,3192894737.0,5.39098830692797,108.305302795051,91.0509299006036,199.35623269565463
Malaysia,MYS,2003,3218947368.0,5.7884992858875,106.943446148115,87.2516829087158,194.1951290568308
Malaysia,MYS,2004,4376052632.0,6.78343772370305,115.373337721075,95.0009281760497,210.3742658971247
Malaysia,MYS,2005,3924786635.0,5.33213916141486,112.898976779781,90.9556678158424,203.8546445956234
Malaysia,MYS,2006,7690731246.0,5.5848470671515,112.18548084399,90.3916659964074,202.5771468403974
Malaysia,MYS,2007,9071369835.0,6.29878592740947,106.168274866985,86.2972314906664,192.4655063576514
Malaysia,MYS,2008,7572512432.0,4.83176988913097,99.4995772447266,77.1687475404215,176.66832478514812
Malaysia,MYS,2009,114664434.6,-1.51352871598714,91.4167918670926,71.1421785856069,162.5589704526995
Malaysia,MYS,2010,10885801852.0,7.42484738326097,86.9302950693543,71.0144698174169,157.9447648867712
Malaysia,MYS,2011,15119439204.0,5.29391283414003,85.2554421085998,69.6822424986263,154.9376846072261
Malaysia,MYS,2012,8895774251.0,5.47345419253853,79.2999139255312,68.5418408404822,147.8417547660134
Malaysia,MYS,2013,11296279514.0,4.69372252557893,75.6290410302627,67.0919504346102,142.7209914648729
Malaysia,MYS,2014,10619431583.0,6.00672194558203,73.7934986257765,64.5187325510668,138.31223117684328
