Country,Year,Cluster,FDI,GDP_Growth,Trade_Openness
Thailand,2001,0,5067170388.0,3.44424900968372,120.267966273533
Thailand,2002,2,3341612007.0,6.14903605210036,114.9697430210667
Thailand,2003,2,5232270340.0,7.18924330340971,116.6928197048645
Thailand,2004,2,5860255943.0,6.28934214285795,127.41187372039268
Thailand,2005,2,8215637195.0,4.18763842884337,137.8538668322474
Thailand,2006,2,8917470351.0,4.96781089246107,134.08694619126825
Thailand,2007,2,8633903441.0,5.43515169050809,129.8732269897175
Thailand,2008,0,8561557725.0,1.72569884866334,140.4370115409312
Thailand,2009,0,6411458545.0,-0.690618232300579,119.2694188545894
Thailand,2010,2,14746672920.0,7.51339053261624,127.2505226382511
Thailand,2011,0,2473685996.0,0.840132083053334,139.6754072245758
Thailand,2012,2,12899036063.0,7.24279620249642,137.67493851023949
Thailand,2013,0,15935960665.0,2.68749556320556,132.4622741742687
Thailand,2014,0,4975455660.0,0.984468863619426,130.905495444398
Thailand,2015,0,8927579182.0,3.13404724911635,124.8396621525262
Thailand,2016,0,3486184390.0,3.43515771692182,120.5752272891298
Thailand,2017,0,8285169820.0,4.1776810321001,120.8914274336379
Thailand,2018,2,13747219811.0,4.22287028746071,120.8418647309837
Thailand,2019,0,5534140215.0,2.11455779628278,109.689514715166
Thailand,2020,0,-4293910677.0,-6.05003846851622,97.8007432465177
Thailand,2021,0,15389597696.0,1.55216608426647,117.2529446208519
Thailand,2022,0,11854822038.0,2.58037874709827,132.8587120828713
Thailand,2023,0,6516045720.0,2.01775095328327,128.8241141523753
Thailand,2024,0,10099247879.0,2.52596175771495,136.7747450927707
Viet Nam,2000,2,1298000000.0,6.78731640463151,111.4170944195124
Viet Nam,2001,2,1300000000.0,6.19289331233377,111.9559379985248
Viet Nam,2002,2,1400000000.0,6.32082099160833,116.6968686524986
Viet Nam,2003,2,1450000000.0,6.89906349055258,124.3279544391248
Viet Nam,2004,2,1610000000.0,7.53641060890386,133.0164978687473
Viet Nam,2005,2,1954000000.0,7.54724772895918,130.7148460450262
Viet Nam,2006,2,2400000000.0,6.97795481056711,138.3136218695982
Viet Nam,2007,2,6700000000.0,7.12950448605439,154.6053839965543
Viet Nam,2008,2,9579000000.0,5.66177120891362,154.3174796277583
Viet Nam,2009,2,7600000000.0,5.39789754014181,134.7063177217576
Viet Nam,2010,2,8000000000.0,6.42324482239482,113.9776875397142
Viet Nam,2011,2,7430000000.0,6.41316889681683,125.26057794082932
Viet Nam,2012,2,8368000000.0,5.5045447041189,123.2241167459847
Viet Nam,2013,2,8900000000.0,5.55351081026072,130.8463548667425
Viet Nam,2014,2,9200000000.0,6.42224312118567,135.410521454361
Viet Nam,2015,2,11800000000.0,6.98715430598611,144.9142281952372
Viet Nam,2016,2,12600000000.0,6.69000892660424,145.4095079731181
Viet Nam,2017,2,14100000000.0,6.94019037359206,160.9800836588696
Viet Nam,2018,2,15500000000.0,7.46500685572751,164.663936775893
Viet Nam,2019,2,16120000000.0,7.35926270105006,164.7042150314079
Viet Nam,2020,2,15800000000.0,2.86541320912272,163.2458628149349
Viet Nam,2021,2,15660000000.0,2.55372852648131,186.6758328368143
Viet Nam,2022,2,17900000000.0,8.53750046755788,183.1536191478359
Viet Nam,2023,2,18500000000.0,5.06502391455075,164.8180712698939
Viet Nam,2024,2,20170000000.0,7.09118746633975,164.8180712698939
